sub category 1	sub category 2	sub category 3	sub category 4	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset							
				ID	AL rdfs:label@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset							
genetic material				OBI:0001868	genetic material												http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	DNA			CHEBI:16991	DNA	genetic material											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	RNA			CHEBI:33697	RNA	genetic material											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	genetic sequence			OBI:0000973	genetic sequence	genetic material			GSSO:009401								http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	genetic sequence	genetic sequence start location		OBI:0002977	genetic sequence start location	genetic sequence			NCIT:C135488								http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	genetic sequence	genetic sequence stop location		OBI:0002978	genetic sequence stop location	genetic sequence											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	genetic sequence	reverse sequence		SO:0001031	reverse sequence	genetic sequence	"complement, complementary sequence"										http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	gene			SO:0000704	gene	genetic material											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	gene	gene name		BSM:0040001	gene name	gene	gene symbol	NCIT:C43568		A unique gene name approved by an organism specific nomenclature committee.	NCIT has different label: gene symbol.						http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	gene	gene description		BSM:0040002	gene description	gene			NCIT:C48664	Brief description of gene function.							http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	gene	ribosomal 16S gene		SO:0002237	ribosomal 16S gene	gene		NCIT:C105370									http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
genetic material	gene	ribosomal 18S gene		SO:0002236	ribosomal 18S gene	gene		NCIT:C48172									http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein				CHEBI:36080	protein												http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	protein sequence			BSM:0040003	protein sequence	protein		SIO:010015	MS:1001344	A protein acid sequence is the character representation of the molecular structure of a protein.							http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	peptide sequence			BSM:0040004	peptide sequence	protein			MS:1001344|NMR:1000892	"In mass spectrometery, peptides are shorter amino acid sequences found within a protein that are generated from enzymatic cleavage of a protein. The sequence describes the order of amino acids in the peptide."							http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	peptide			CHEBI:16670	peptide	protein					"In mass spectrometery, peptides are shorter amino acid sequences found within a protein that are generated from enzymatic cleavage of a protein."						http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	protein spectral count			MS:1002016	protein spectral count	protein											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	peptide spectal count			MS:1002015	peptide spectal count	protein											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	protein name			MS:1000883	protein symbol	protein					MS has different label: protein short name						http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	protein description			MS:1000886	protein description	protein					MS has different label: protein name						http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	MS1 peak area			MS:1001844	MS1 feature area	protein					MS has different label: MS1 feature area						http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
protein	protein modifications			MS:1000933	protein modifications	protein											http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
enzyme				OBI:0000427	enzyme												http://bcodmo/sm#biology	http://bcodmo/sm#biomolecules							
