module	Sub category 1:	sub category 2:	sub category 3:	sub category 4:	sub category 5:	sub category 6:	sub category 7:	has descriptor	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
									ID	AL rdfs:label@en	AL IAO:0000111@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
compound									BSM:0210000	compound	compound					Root node for chemistry compound module.							http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	aluminium compound								CHEBI:33620	aluminium compound	aluminium compound	compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	aluminium compound	aluminium oxide							CHEBI:30187	aluminium oxide	aluminium oxide	aluminium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	aluminium compound	aluminium oxide	oxidoaluminate(1-)						CHEBI:30130	oxidoaluminate(1-)	oxidoaluminate(1-)	aluminium oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	aluminium compound	aluminium oxide	oxidoaluminium						CHEBI:30128	oxidoaluminium	oxidoaluminium	aluminium oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	aluminium compound	aluminium oxide	oxidoaluminium(1+)						CHEBI:30129	oxidoaluminium(1+)	oxidoaluminium(1+)	aluminium oxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound								CHEBI:36919	antimony compound	antimony compound	compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoanion							CHEBI:36921	antimony oxoanion	antimony oxoanion	antimony compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoanion	antimonate(1-)						CHEBI:36923	antimonate(1-)	antimonate(1-)	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoanion	antimonate(2-)						CHEBI:36924	antimonate(2-)	antimonate(2-)	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoanion	antimonate(3-)						CHEBI:30295	antimonate(3-)	antimonate(3-)	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoanion	antimonite						CHEBI:30297	antimonite	antimonite	antimony oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony hydride							CHEBI:36918	antimony hydride	antimony hydride	antimony compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony hydride	stibane						CHEBI:30288	stibane	stibane	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony hydride	stibonium						CHEBI:30292	stibonium	stibonium	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony hydride	stiborane						CHEBI:36925	stiborane	stiborane	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony hydride	trihydridoantimonate(.1-)						CHEBI:30289	trihydridoantimonate(.1-)	trihydridoantimonate(.1-)	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony hydride	trihydridoantimony(.1+)						CHEBI:30290	trihydridoantimony(.1+)	trihydridoantimony(.1+)	antimony hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid							CHEBI:36920	antimony oxoacid	antimony oxoacid	antimony compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid	antimonic acid						CHEBI:30294	antimonic acid	antimonic acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid	antimonous acid						CHEBI:49870	antimonous acid	antimonous acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid	stibinic acid						CHEBI:30300	stibinic acid	stibinic acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid	stibinous acid						CHEBI:30301	stibinous acid	stibinous acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid	stibonic acid						CHEBI:30298	stibonic acid	stibonic acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	antimony compound	antimony oxoacid	stibonous acid						CHEBI:30299	stibonous acid	stibonous acid	antimony oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound								CHEBI:22632	arsenic compound	arsenic compound	compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion							CHEBI:35776	arsenic oxoanion	arsenic oxoanion	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenate ion						CHEBI:22629	arsenate ion	arsenate ion	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenate ion	arsenate(1-)					CHEBI:48600	arsenate(1-)	arsenate(1-)	arsenate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenate ion	arsenate(2-)					CHEBI:48597	arsenate(2-)	arsenate(2-)	arsenate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenate ion	arsenate(3-)					CHEBI:29125	arsenate(3-)	arsenate(3-)	arsenate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenite ion						CHEBI:22633	arsenite ion	arsenite ion	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenite ion	arsenite(1-)					CHEBI:29242	arsenite(1-)	arsenite(1-)	arsenite ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenite ion	arsenite(2-)					CHEBI:29243	arsenite(2-)	arsenite(2-)	arsenite ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsenite ion	arsenite(3-)					CHEBI:29866	arsenite(3-)	arsenite(3-)	arsenite ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsinate						CHEBI:29846	arsinate	arsinate	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsinite						CHEBI:29845	arsinite	arsinite	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsonate(1-)						CHEBI:64448	arsonate(1-)	arsonate(1-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsonate(2-)						CHEBI:29754	arsonate(2-)	arsonate(2-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsonite(1-)						CHEBI:33410	arsonite(1-)	arsonite(1-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	arsonite(2-)						CHEBI:29753	arsonite(2-)	arsonite(2-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	dimethylarsinate						CHEBI:16223	dimethylarsinate	dimethylarsinate	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoanion	methylarsonite						CHEBI:14597	methylarsonite	methylarsonite	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	organoarsenic compound							CHEBI:33406	organoarsenic compound	organoarsenic compound	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	organoarsenic compound	dimethylarsinic acid						CHEBI:48765	dimethylarsinic acid	dimethylarsinic acid	organoarsenic compound	DMA										http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	organoarsenic compound	monomethylarsonic acid						BSM:0210005	monomethylarsonic acid	monomethylarsonic acid	organoarsenic compound	MMA										http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	organoarsenic compound	dimethylarsinous acid						CHEBI:23808	dimethylarsinous acid	dimethylarsinous acid	organoarsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid							CHEBI:33407	arsenic oxoacid	arsenic oxoacid	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	arsenic acid						CHEBI:18231	arsenic acid	arsenic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	arsenous acid						CHEBI:49900	arsenous acid	arsenous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	arsinic acid						CHEBI:29840	arsinic acid	arsinic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	arsinous acid						CHEBI:29844	arsinous acid	arsinous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	arsonic acid						CHEBI:29850	arsonic acid	arsonic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	methylarsonic acid						CHEBI:29852	methylarsonic acid	methylarsonic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	phenylarsonic acid						CHEBI:29851	phenylarsonic acid	phenylarsonic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	arsonous acid						CHEBI:29847	arsonous acid	arsonous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	methylarsonous acid						CHEBI:17826	methylarsonous acid	methylarsonous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic oxoacid	phenylarsonous acid						CHEBI:50019	phenylarsonous acid	phenylarsonous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride							CHEBI:35822	arsenic hydride	arsenic hydride	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsanediide						CHEBI:29760	arsanediide	arsanediide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsane						CHEBI:47217	arsane	arsane	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	diarsane						CHEBI:33110	diarsane	diarsane	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsanide						CHEBI:29755	arsanide	arsanide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsanyl						CHEBI:33105	arsanyl	arsanyl	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsanylium						CHEBI:29757	arsanylium	arsanylium	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsonium						CHEBI:30272	arsonium	arsonium	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	arsorane						CHEBI:35839	arsorane	arsorane	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	diarsanetriide						CHEBI:35872	diarsanetriide	diarsanetriide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	diarsene						CHEBI:33107	diarsene	diarsene	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	arsenic compound	arsenic hydride	diarsenide						CHEBI:35870	diarsenide	diarsenide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	barium compound								CHEBI:37133	barium compound	barium compound	compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	barium compound	barium hydroxide							CHEBI:35152	barium hydroxide	barium hydroxide	barium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
compound	barium compound	barium hydroxide	barium dihydroxide						CHEBI:32592	barium dihydroxide	barium dihydroxide	barium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
