module	Sub category 1:	sub category 2:	sub category 3:	has descriptor	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset		quantifier 1	quantifier 2	entity
					ID	AL rdfs:label@en	AL IAO:0000111@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset				
					BSM:0210000															http://bcodmo/sm#temp				
					CHEBI:50860	organic matter	organic matter	BSM:0210000	organic compound			A chemical compound that contain carbon-hydrogen or carbon-carbon bonds.		Root is chemistry compound upper level term. See https://en.wikipedia.org/wiki/Organic_compound					http://bcodmo/sm#chemistry	http://bcodmo/sm#temp			organic	compound
					CHEBI:24835	inorganic matter	inorganic matter	BSM:0210000	inorganic compound			A chemical compound that lacks carbon–hydrogen bonds and is therefore not an organic compound.	"There are a few notable exception e.g., carbon monoxide, carbon dioxide, carbides, as well as various salts. "	Root is chemistry compound upper level term.  See https://en.wikipedia.org/wiki/Inorganic_compound					http://bcodmo/sm#chemistry	http://bcodmo/sm#temp			inorganic	compound
					BSM:0220001	dissolved organic matter	dissolved organic matter	organic matter	DOM			Organic matter that is dissolved.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	organic	compound
					BSM:0220002	dissolved inorganic matter	dissolved inorganic matter	inorganic matter	DIM			Inorganic matter that is dissolved.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	inorganic	compound
					BSM:0220003	dissolved organic carbon	dissolved organic carbon	dissolved organic matter	DOC			The carbon compound fraction of dissolved organic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	organic	carbon
					BSM:0220004	dissolved inorganic carbon	dissolved inorganic carbon	dissolved inorganic matter	DIC			The carbon compound fraction of dissolved inorganic matter.		See https://en.wikipedia.org/wiki/Dissolved_inorganic_carbon					http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	inorganic	carbon
					BSM:0220005	dissolved organic nitrogen	dissolved organic nitrogen	dissolved organic matter	DON			The nitrogen compound fraction of dissolved organic matter.		Dissolved organic nitrogen (DON) is that subset of the dissolved organic carbon (DOC) pool that also contains N. 					http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	organic	nitrogen
					BSM:0220006	dissolved inorganic nitrogen	dissolved inorganic nitrogen	dissolved inorganic matter	DIN			The nitrogen compound fraction of dissolved inorganic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	inorganic	nitrogen
					BSM:0220007	dissolved organic phosphorus	dissolved organic phosphorus	dissolved organic matter	DOP			The phosphorus compound fraction of dissolved organic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	organic	phosphorus
					BSM:0220008	dissolved inorganic phosphorus	dissolved inorganic phosphorus	dissolved inorganic matter	DIP			The phosphorus compound fraction of dissolved inorganic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		dissolved	inorganic	phosphorus
					BSM:0220009	particulate organic matter	particulate organic matter	organic matter	POM			Organic matter that is particulate.	A fraction of total organic matter operationally defined as that which does not pass through a filter pore size that typically ranges in size from 0.053 to 2 millimeters.	See https://en.wikipedia.org/wiki/Particulate_organic_matter					http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	organic	compound
					BSM:0220010	particulate inorganic matter	particulate inorganic matter	inorganic matter	PIM			Inorganic matter that is particulate.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	inorganic	compound
					BSM:0220011	particulate organic carbon	particulate organic carbon	particulate organic matter	POC			The carbon compound fraction of particulate organic matter.	The mass of carbon in the particulate organic material						http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	organic	carbon
					BSM:0220012	particulate inorganic carbon	particulate inorganic carbon	particulate inorganic matter	PIC			The carbon compound fraction of particulate inorganic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	inorganic	carbon
					BSM:0220013	particulate organic nitrogen	particulate organic nitrogen	particulate organic matter	PON			The nitrogen compound fraction of particulate organic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	organic	nitrogen
					BSM:0220014	particulate inorganic nitrogen	particulate inorganic nitrogen	particulate inorganic matter	PIN			The nitrogen compound fraction of particulate inorganic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	inorganic	nitrogen
					BSM:0220015	particulate organic phosphorus	particulate organic phosphorus	particulate organic matter	POP			The phosphorus compound fraction of particulate organic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	organic	phosphorus
					BSM:0220016	particulate inorganic phosphorus	particulate inorganic phosphorus	particulate inorganic matter	PIP			The phosphorus compound fraction of particulate inorganic matter.							http://bcodmo/sm#chemistry	http://bcodmo/sm#temp		particulate	inorganic	phosphorus
