module	Matrix	Sub Matrix	Sub Matrix	ontology ID	label	prefered label	parent class	new	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
				ID	AL rdfs:label@en	AL IAO:0000111@en	SC %		AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
context				BSM:0110000	context	context						Root node for matrix context module.							http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	bloom			BSM:0110001	bloom	bloom	context	e.g.: aquatic|polar											http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	bloom	algal bloom		ENVO:2000004	algal bloom	algal bloom	bloom												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	deep chlorophyll maximum layer			ENVO:01000326	deep chlorophyll maximum layer	deep chlorophyll maximum layer	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	eddy field			ENVO:01000353	eddy field	eddy field	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	lagoon			ENVO:00000038	lagoon	lagoon	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	lake layer			ENVO:01000283	lake layer	lake layer	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	lake layer	epilimnion		ENVO:00002131	epilimnion	epilimnion	lake layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	lake layer	hypolimnion		ENVO:00002130	hypolimnion	hypolimnion	lake layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer			ENVO:01000295	marine layer	marine layer	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine aphotic zone		ENVO:00000210	marine aphotic zone	marine aphotic zone	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine photic zone		ENVO:00000209	marine photic zone	marine photic zone	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine wind mixed layer		ENVO:01000061	marine wind mixed layer	marine wind mixed layer	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	sea surface layer		ENVO:01001581	sea surface layer	sea surface layer	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine benthic zone		ENVO:01000024	marine benthic zone	marine benthic zone	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine neritic zone		ENVO:00000206	marine neritic zone	marine neritic zone	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine pelagic zone		ENVO:00000208	marine pelagic zone	marine pelagic zone	marine layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine pelagic zone	hadalpelagic zone	ENVO:00000214	hadalpelagic zone	hadalpelagic zone	marine pelagic zone												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine pelagic zone	marine abyssalpelagic zone	ENVO:00000212	marine abyssalpelagic zone	marine abyssalpelagic zone	marine pelagic zone												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine pelagic zone	marine bathypelagic zone	ENVO:00000211	marine bathypelagic zone	marine bathypelagic zone	marine pelagic zone												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine pelagic zone	marine mesopelagic zone	ENVO:00000213	marine mesopelagic zone	marine mesopelagic zone	marine pelagic zone												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	marine layer	marine pelagic zone	marine epipelagic zone	ENVO:01000035	marine epipelagic zone	marine epipelagic zone	marine pelagic zone												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	water surface			ENVO:01001191	water surface	water surface	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	aquifer			ENVO:00012408	aquifer	aquifer	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
context	atmosphere			ENVO:01000811	atmosphere	atmosphere	context												http://bcodmo/sm#matrix	http://bcodmo/sm#context
