Matrix	Sub Matrix	Sub Matrix	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
			ID	AL rdfs:label@en	AL IAO:0000111@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
aerosol			ENVO:00010505	aerosol	aerosol												http://bcodmo/sm#matrix	http://bcodmo/sm#material
aerosol	cloud		ENVO:01001428	cloud	cloud	aerosol											http://bcodmo/sm#matrix	http://bcodmo/sm#material
aerosol	fog		ENVO:01000844	fog	fog	aerosol											http://bcodmo/sm#matrix	http://bcodmo/sm#material
aerosol	haze		ENVO:01001402	haze	haze	aerosol											http://bcodmo/sm#matrix	http://bcodmo/sm#material
aerosol	mist		ENVO:01001458	mist	mist	aerosol											http://bcodmo/sm#matrix	http://bcodmo/sm#material
aerosol	smoke		ENVO:01000838	smoke	smoke	aerosol											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ash			ENVO:02000090	ash	ash												http://bcodmo/sm#matrix	http://bcodmo/sm#material
clay			ENVO:00002982	clay	clay												http://bcodmo/sm#matrix	http://bcodmo/sm#material
emulsion			ENVO:00010506	emulsion	emulsion												http://bcodmo/sm#matrix	http://bcodmo/sm#material
foam			ENVO:00005738	foam	foam												http://bcodmo/sm#matrix	http://bcodmo/sm#material
fossil			ENVO:00002164	fossil	fossil												http://bcodmo/sm#matrix	http://bcodmo/sm#material
frost			ENVO:01001850	frost	frost												http://bcodmo/sm#matrix	http://bcodmo/sm#material
gas			ENVO:01000797	gas	gas												http://bcodmo/sm#matrix	http://bcodmo/sm#material
gas	air		ENVO:00002005	air	air	gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
gas	vapor		ENVO:01000266	vapor	vapor	gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
glass			ENVO:01000480	glass	glass												http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice			ENVO:01000277	ice	ice												http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	glacial ice		ENVO:03000004	glacial ice	glacial ice	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	ice floe		ENVO:03000065	ice floe	ice floe	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice floe		ENVO:03000066	sea ice floe	sea ice floe	ice floe											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice floe	nilas	ENVO:03000068	nilas	nilas	sea ice floe											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice floe	pancake ice	ENVO:03000067	pancake ice	pancake ice	sea ice floe											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice floe	young ice	ENVO:03000069	young ice	young ice	sea ice floe											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	new ice		ENVO:03000063	new ice	new ice	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	new ice	frazil	ENVO:01001523	frazil	frazil	new ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	new ice	shuga	ENVO:03000075	shuga	shuga	new ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice		ENVO:00002200	sea ice	sea ice	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice	brown sea ice	ENVO:01001190	brown sea ice	brown sea ice	sea ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice	congelation sea ice	ENVO:01001512	congelation sea ice	congelation sea ice	sea ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice	first year ice	ENVO:03000071	first year ice	first year ice	sea ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice	multiyear ice	ENVO:03000073	multiyear ice	multiyear ice	sea ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	sea ice	second year ice	ENVO:03000072	second year ice	second year ice	sea ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	blue ice		ENVO:03000007	blue ice	blue ice	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	freshwater ice		ENVO:01001511	freshwater ice	freshwater ice	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
ice	methane ice		ENVO:01001139	methane ice	methane ice	ice											http://bcodmo/sm#matrix	http://bcodmo/sm#material
incubation			BSM:0100004	incubation	incubation												http://bcodmo/sm#matrix	http://bcodmo/sm#material
incubation	cell culture		ENVO:02000008	cell culture	cell culture	incubation											http://bcodmo/sm#matrix	http://bcodmo/sm#material
lava			ENVO:01000231	lava	lava												http://bcodmo/sm#matrix	http://bcodmo/sm#material
plastic			ENVO:01000404	plastic	plastic												http://bcodmo/sm#matrix	http://bcodmo/sm#material
methane clathrate			ENVO:01000851	methane clathrate	methane clathrate												http://bcodmo/sm#matrix	http://bcodmo/sm#material
mineral			ENVO:01000256	mineral	mineral												http://bcodmo/sm#matrix	http://bcodmo/sm#material
mud			ENVO:01000001	mud	mud												http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material			ENVO:2000045	hydrocarbon material	hydrocarbon material												http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	charcoal		ENVO:01000560	charcoal	charcoal	hydrocarbon material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	charcoal	biochar	ENVO:2000007	biochar	biochar	charcoal											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	hydrocarbon gas		ENVO:01000554	hydrocarbon gas	hydrocarbon gas	hydrocarbon material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	hydrocarbon gas	biogas	ENVO:01000556	biogas	biogas	hydrocarbon gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	hydrocarbon gas	natural gas	ENVO:01000552	natural gas	natural gas	hydrocarbon gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	liquified hydrocarbon gas		ENVO:01000558	liquified hydrocarbon gas	liquified hydrocarbon gas	hydrocarbon material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	liquified hydrocarbon gas	liquified natural gas	ENVO:01000557	liquified natural gas	liquified natural gas	liquified hydrocarbon gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	liquified hydrocarbon gas	liquified petroleum gas	ENVO:01000553	liquified petroleum gas	liquified petroleum gas	liquified hydrocarbon gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	oil		ENVO:00002985	oil	oil												http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	oil	fuel oil	ENVO:00002983	fuel oil	fuel oil	oil											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	oil	petroleum	ENVO:00002984	petroleum	petroleum	oil											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material			ENVO:01000155	organic material	organic material												http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	algal material		ENVO:01001189	algal material	algal material	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	biofilm material		ENVO:01000156	biofilm material	biofilm material	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	detritus		ENVO:01001103	detritus	detritus	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	detritus	marine snow	ENVO:01000158	marine snow	marine snow	detritus											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	kerogen		ENVO:01001231	kerogen	kerogen	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	marine mucilage		ENVO:1000746	marine mucilage	marine mucilage	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	microbial mat material		ENVO:01000157	microbial mat	microbial mat	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	necromass		ENVO:01001395	necromass	necromass	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	planktonic material		ENVO:01000063	plankton	plankton	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	plant matter		ENVO:01001121	plant matter	plant matter	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	seagrass		BSM:0100001	seagrass	seagrass	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
particulate matter			ENVO:01000060	particulate matter	particulate matter												http://bcodmo/sm#matrix	http://bcodmo/sm#material
