module	Sub category 1:	sub category 2:	sub category 3:	has descriptor	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
					ID	AL rdfs:label@en	AL IAO:0000111@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
phenomenon					BSM:0320000	phenomenon	phenomenon					Root node for phenomenon module.							http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere				ENVO:01000811	atmosphere	atmosphere	phenomenon											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric column			ENVO:01000675	atmospheric column	atmospheric column	atmosphere											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer			ENVO:01000543	atmospheric layer	atmospheric layer	atmosphere											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	atmospheric boundary layer		ENVO:01000323	atmospheric boundary layer	atmospheric boundary layer	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	exosphere		ENVO:01000546	exosphere	exosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	free atmosphere		ENVO:01001712	free atmosphere	free atmosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	frontal surface of a weather front		ENVO:01001672	frontal surface of a weather front	frontal surface of a weather front	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	ionosphere		ENVO:01000545	ionosphere	ionosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	mesosphere		ENVO:01000539	mesosphere	mesosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	ozone layer		ENVO:01000542	ozone layer	ozone layer	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	stratosphere		ENVO:01000538	stratosphere	stratosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	thermosphere		ENVO:01000541	thermosphere	thermosphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	atmosphere	atmospheric layer	troposphere		ENVO:01000540	troposphere	troposphere	atmospheric layer											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	deep chlorophyll maximum layer				ENVO:01000326	deep chlorophyll maximum layer	deep chlorophyll maximum layer	phenomenon											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	eddy field				ENVO:01000353	eddy field	eddy field	phenomenon											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation				ENVO:01001026	electromagnetic radiation	electromagnetic radiation	phenomenon											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	infrared radiation			ENVO:21001214	infrared radiation	infrared radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	X-ray radiation			ENVO:21001217	X-ray radiation	X-ray radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	gamma-ray radiation			ENVO:21001218	gamma-ray radiation	gamma-ray radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	microwave radiation			ENVO:21001212	microwave radiation	microwave radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	stellar radiation			ENVO:01001211	stellar radiation	stellar radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	stellar radiation	photosynthetically active radiation		ENVO:01001864	photosynthetically active radiation	photosynthetically active radiation	stellar radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	radio wave radiation			ENVO:21001213	radio wave radiation	radio wave radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	shortwave radiation			ENVO:01001861	shortwave radiation	shortwave radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	ultraviolet radiation			ENVO:21001216	ultraviolet radiation	ultraviolet radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	electromagnetic radiation	visible spectrum radiation			ENVO:21001215	visible spectrum radiation	visible spectrum radiation	electromagnetic radiation											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline				ENVO:01000258	fluid cline	fluid cline	phenomenon											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	chemocline			ENVO:00002270	chemocline	chemocline	fluid cline											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	lysocline			ENVO:01001674	lysocline	lysocline	fluid cline											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	nutricline			ENVO:01001675	nutricline	nutricline	fluid cline											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front			ENVO:01000071	oceanic front	oceanic front	fluid cline											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	boundary current front		ENVO:01000093	boundary current front	boundary current front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	coastal buoyancy current front		ENVO:01000086	coastal buoyancy current front	coastal buoyancy current front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	coastal upwelling front		ENVO:01000090	coastal upwelling front	coastal upwelling front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	equatorial upwelling front		ENVO:01000092	equatorial upwelling front	equatorial upwelling front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	estuarine front		ENVO:01000084	estuarine front	estuarine front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	marginal ice zone front		ENVO:01000095	marginal ice zone front	marginal ice zone front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	mid-shelf fronts		ENVO:01000088	mid-shelf fronts	mid-shelf fronts	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	plume front		ENVO:01000085	plume front	plume front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	shelf-slope/shelf-break front		ENVO:01000089	shelf-slope/shelf-break front	shelf-slope/shelf-break front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	subtropical convergence front		ENVO:01000094	subtropical convergence front	subtropical convergence front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	surface convergence		ENVO:01000097	surface convergence	surface convergence	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	tidal mixing front		ENVO:01000087	tidal mixing front	tidal mixing front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	topographic upwelling front		ENVO:01000091	topographic upwelling front	topographic upwelling front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
phenomenon	fluid cline	oceanic front	water mass front		ENVO:01000096	water mass front	water mass front	oceanic front											http://bcodmo/sm#physics	http://bcodmo/sm#phenomenon
