module	sub category 1	sub category 2	sub category 3	has sub quantifier	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	in subset
					ID	AL rdfs:label@en	AL IAO:0000111@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset
quantifiers					BSM:0000000	quantifiers	quantifiers					Root node for quantifiers module.							http://bcodmo/sm#quantifiers
quantifiers	flux				PATO:0001030	flux	flux	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	relative				BSM:0000023	relative	relative	quantifiers			NCIT:C45830								http://bcodmo/sm#quantifiers
quantifiers	age				PATO:0000011	age	age	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	binary				STATO:0000031	binary	binary	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	binary	TRUE			BSM:0000012	TRUE	TRUE	binary											http://bcodmo/sm#quantifiers
quantifiers	binary	FALSE			BSM:0000013	FALSE	FALSE	binary											http://bcodmo/sm#quantifiers
quantifiers	content				BSM:0000014	content	content	quantifiers	composition		PATO:0000025	A single physical entity inhering in an bearer by virtue of the bearer's quantities or qualities.							http://bcodmo/sm#quantifiers
quantifiers	fluorescence				PATO:0000018	fluorescence	fluorescence	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	absorption				BSM:0000015	absorption	absorption	quantifiers			PATO:0002060|PATO:0001293								http://bcodmo/sm#quantifiers
quantifiers	optical density				BSM:0000016	optical density	optical density	quantifiers		CHMO:0002039	PATO:0001300								http://bcodmo/sm#quantifiers
quantifiers	speed				PATO:0000008	speed	speed	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	estimated				BSM:0000024	estimated	estimated	quantifiers	estimate|estimation		NCIT:C25498								http://bcodmo/sm#quantifiers
quantifiers	calculated				BSM:0000025	calculated	calculated	quantifiers	calculate|calculation		NCIT:C54125								http://bcodmo/sm#quantifiers
quantifiers	predicted				BSM:0000026	predicted	predicted	quantifiers	predict|prediction		NCIT:C54156								http://bcodmo/sm#quantifiers
quantifiers	net				BSM:0000027	net	net	quantifiers			NCIT:C70842								http://bcodmo/sm#quantifiers
quantifiers	gross				BSM:0000022	gross	gross	quantifiers				"Gains prior to deduction of losses; pre-deducted value (gross), post-deducted value (net)."							http://bcodmo/sm#quantifiers
quantifiers	size				PATO:0000117	size	size	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	size	length			PATO:0000122	length	length	size											http://bcodmo/sm#quantifiers
quantifiers	size	height			PATO:0000119	height	height	size											http://bcodmo/sm#quantifiers
quantifiers	size	area			PATO:0001323	area	area	size											http://bcodmo/sm#quantifiers
quantifiers	size	girth			BSM:0000010	girth	girth	size											http://bcodmo/sm#quantifiers
quantifiers	size	diameter			PATO:0001334	diameter	diameter	size											http://bcodmo/sm#quantifiers
quantifiers	size	radius			PATO:0002390	radius	radius	size											http://bcodmo/sm#quantifiers
quantifiers	size	volume			PATO:0000918	volume	volume	size											http://bcodmo/sm#quantifiers
quantifiers	abundance				BSM:0000003	abundance	abundance	quantifiers	quantity|plentifulness			The degree of quantity of an entity.							http://bcodmo/sm#quantifiers
quantifiers	abundance	number			BSM:0000001	number	number	abundance											http://bcodmo/sm#quantifiers
quantifiers	abundance	count			BSM:0000002	count	count	abundance			PATO:0000070								http://bcodmo/sm#quantifiers
quantifiers	abundance	concentration			PATO:0000033	concentration	concentration	abundance											http://bcodmo/sm#quantifiers
quantifiers	abundance	weight			PATO:0000128	weight	weight	abundance											http://bcodmo/sm#quantifiers
quantifiers	abundance	weight	dry weight		BSM:0000019	dry weight	dry weight	weight											http://bcodmo/sm#quantifiers
quantifiers	abundance	weight	wet weight		BSM:0000020	wet weight	wet weight	weight											http://bcodmo/sm#quantifiers
quantifiers	abundance	mass			PATO:0000125	mass	mass	abundance											http://bcodmo/sm#quantifiers
quantifiers	abundance	mass	molecular mass		MS:1000224	molecular mass	molecular mass	mass	molecular weight										http://bcodmo/sm#quantifiers
quantifiers	statistic				STATO:0000039	statistic	statistic	quantifiers											http://bcodmo/sm#quantifiers
quantifiers	statistic	sum			BSM:0000018	sum	sum	statistic			SIO:001112|NCIT:C25697								http://bcodmo/sm#quantifiers
quantifiers	statistic	ratio			STATO:0000184	ratio	ratio	statistic		UO:0000190|PATO:0001470									http://bcodmo/sm#quantifiers
quantifiers	statistic	average			STATO:0000573	average	average	statistic	mean										http://bcodmo/sm#quantifiers
quantifiers	statistic	percentage			UO:00000187	percentage	percentage	statistic											http://bcodmo/sm#quantifiers
quantifiers	statistic	confidence interval			STATO:0000196	confidence interval	confidence interval	statistic	CI										http://bcodmo/sm#quantifiers
