ontology ID	label	definition
unit:%25	percent	
unit:%25%5Bslope%5D	percent of slope	
unit:%27	plane angle minute	A unit which 1) is a unit of plane and phase angle
unit:%27%27	plane angle second	A unit which 1) is a unit of plane and phase angle
unit:%5BAPL%27U%5D	APL unit	
unit:%5BAU%5D	allergy unit	
unit:%5BAmb%27a%271%27U%5D	Ambrosia artemisiifolia allergen unit	
unit:%5BBAU%5D	bioequivalent allergen unit	
unit:%5BBtu%5D	British thermal unit	
unit:%5BBtu_39%5D	British thermal unit at 39°F	
unit:%5BBtu_59%5D	British thermal unit at 59°F	
unit:%5BBtu_60%5D	British thermal unit at 60°F	
unit:%5BBtu_IT%5D	international table British thermal unit	
unit:%5BBtu_m%5D	mean British thermal unit	
unit:%5BBtu_th%5D	thermochemical British thermal unit	
unit:%5BCCID_50%5D	50% cell culture infectious dose	
unit:%5BCFU%5D	colony forming unit	
unit:%5BCal%5D	large calorie	
unit:%5BCh%5D	Charrière	
unit:%5BD%27ag%27U%5D	D-antigen unit	
unit:%5BEID_50%5D	50% embryo infectious dose unit	
unit:%5BELU%5D	ELISA unit	
unit:%5BEU%5D	Ehrlich unit	
unit:%5BFEU%5D	fibrinogen equivalent unit	
unit:%5BFFU%5D	focus forming units	
unit:%5BG%5D	Newtonian constant of gravitation	
unit:%5BGPL%27U%5D	GPL unit	
unit:%5BHP%5D	horsepower	
unit:%5BHPF%5D	high power field	
unit:%5BIR%5D	index of allergen reactivity	
unit:%5BIU%5D	arbitrary international unit	
unit:%5BLPF%5D	low power field	
unit:%5BLf%5D	Limit of flocculation	
unit:%5BMET%5D	Metabolic Equivalent of Task	
unit:%5BMPL%27U%5D	MPL unit	
unit:%5BPFU%5D	plaque forming unit	
unit:%5BPNU%5D	protein nitrogen unit	
unit:%5BPRU%5D	peripheral vascular resistance unit	
unit:%5BS%5D	Svedberg unit	
unit:%5BTCID_50%5D	50% tissue culture infectious dose unit	
unit:%5BUSP%27U%5D	United States Pharmacopeia unit	
unit:%5Bacr_br%5D	British acre	
unit:%5Bacr_us%5D	US customary acre	
unit:%5Banti%27Xa%27U%5D	anti factor Xa unit	
unit:%5Barb%27U%5D	arbitary unit	
unit:%5Bbbl_us%5D	US barrel	
unit:%5Bbdsk%27U%5D	Bodansky unit	
unit:%5Bbeth%27U%5D	Bethesda unit	
unit:%5Bbf_i%5D	board foot	
unit:%5Bbu_br%5D	British bushel	
unit:%5Bbu_us%5D	US bushel	
unit:%5Bc%5D	velocity of light in a vacuum	
unit:%5Bcar_Au%5D	gold alloys carat	
unit:%5Bcar_m%5D	metric carat	
unit:%5Bcft_i%5D	cubic foot	
unit:%5Bch_br%5D	British Gunter's chain	
unit:%5Bch_us%5D	US Gunter's chain	
unit:%5Bcicero%5D	cicero	
unit:%5Bcin_i%5D	cubic inch	
unit:%5Bcml_i%5D	circular mil	
unit:%5Bcr_i%5D	cord	
unit:%5Bcrd_us%5D	US cord	
unit:%5Bcup_m%5D	US legal cup	
unit:%5Bcup_us%5D	US customary cup	
unit:%5Bcyd_i%5D	cubic international yard	
unit:%5BdegF%5D	degree Fahrenheit	
unit:%5BdegR%5D	degree Rankine	
unit:%5BdegRe%5D	degree Réaumur	
unit:%5Bden%5D	denier	
unit:%5Bdidot%5D	didot	
unit:%5Bdiop%5D	diopter	
unit:%5Bdpt_us%5D	US dry pint	
unit:%5Bdqt_us%5D	US dry quart	
unit:%5Bdr_ap%5D	drachm	
unit:%5Bdr_av%5D	dram mass unit	
unit:%5Bdrp%5D	drop	
unit:%5Bdye%27U%5D	Dye unit	
unit:%5Be%5D	elementary charge	
unit:%5Beps_0%5D	permittivity of vacuum	
unit:%5Bfdr_br%5D	British fluid dram	
unit:%5Bfdr_us%5D	US fluid dram	
unit:%5Bfoz_br%5D	British fluid ounce	
unit:%5Bfoz_m%5D	metric fluid ounce	
unit:%5Bfoz_us%5D	US fluid ounce	
unit:%5Bft_br%5D	British foot	
unit:%5Bft_i%5D	international foot	
unit:%5Bft_us%5D	US foot	
unit:%5Bfth_br%5D	British fathom	
