### BCODMO_SM Biology organism terms:
NCBITaxon:_taxonomic:rank	#taxonomic rank
NCBITaxon:1	#NCBI taxonomy ID
NCBITaxon:class	#class
NCBITaxon:family	#family
NCBITaxon:genus	#genus
NCBITaxon:kingdom	#kingdom
NCBITaxon:order	#order
NCBITaxon:phylum	#phylum
NCBITaxon:species	#species
NCBITaxon:superkingdom	#domain
###
NCBITaxon:198241	#Acartia hudsonica
NCBITaxon:278013	#Acrocirridae
NCBITaxon:6130	#Acropora cervicornis
NCBITaxon:45264	#Acropora millepora
NCBITaxon:6131	#Acropora palmata
NCBITaxon:127871	#Acropora prolifera
NCBITaxon:140239	#Acropora pulchra
NCBITaxon:6126	#Acroporidae
NCBITaxon:262285	#Agaricia tenuifolia
NCBITaxon:46724	#Agariciidae
NCBITaxon:295242	#Agelas conifera
NCBITaxon:2924	#Alexandrium
NCBITaxon:600435	#Allodapula melanopus
NCBITaxon:1266862	#Ammodytes dubius
NCBITaxon:6374	#Ampharetidae
NCBITaxon:8292	#Amphibia
NCBITaxon:6821	#Amphipoda
NCBITaxon:80970	#Amphiprion clarkii
NCBITaxon:80972	#Amphiprion ocellaris
NCBITaxon:80973	#Amphiprion perideraion
NCBITaxon:96882	#Amphiprion polymnus
NCBITaxon:96883	#Amphiprion sandaracinos
NCBITaxon:6340	#Annelida
NCBITaxon:323581	#Anolis frenatus
NCBITaxon:6101	#Anthozoa
NCBITaxon:1306264	#Antillogorgia
NCBITaxon:204378	#Antillogorgia americana
NCBITaxon:202113	#Aplysina fistularis
NCBITaxon:257503	#Appendicularia
NCBITaxon:6656	#Arthropoda
NCBITaxon:7713	#Ascidiacea
NCBITaxon:7588	#Asteroidea
NCBITaxon:165417	#Astrangia
NCBITaxon:8782	#Aves
NCBITaxon:33849	#Bacillariophyceae
NCBITaxon:2	#bacteria
NCBITaxon:35079	#Balanoglossus
NCBITaxon:6544	#Bivalvia
NCBITaxon:581057	#Botrylloides violaceus
NCBITaxon:7568	#Brachiopoda
NCBITaxon:2499525	#Breviolum minutum
NCBITaxon:37796	#Buccinidae
NCBITaxon:6836	#Calanus
NCBITaxon:6837	#Calanus finmarchicus
NCBITaxon:6763	#Callinectes sapidus
NCBITaxon:6694	#Caridea
NCBITaxon:136182	#Centropages
NCBITaxon:160704	#Cephalopholis cruentatus
NCBITaxon:1522080	#Ceraesignum maximum
NCBITaxon:2915	#Ceratium
NCBITaxon:9721	#Cetacea
NCBITaxon:49237	#Chaetoceros
NCBITaxon:163503	#Chaetoceros socialis
NCBITaxon:10229	#Chaetognath
NCBITaxon:6378	#Chaetopteridae
NCBITaxon:7711	#Chordata
NCBITaxon:5878	#Ciliophora
NCBITaxon:46590	#Cirratulidae
NCBITaxon:6675	#Cirripedia
NCBITaxon:34125	#Cladophora
NCBITaxon:48606	#Clathromorphum compactum
NCBITaxon:1282265	#Clathromorphum nereostratum
NCBITaxon:6073	#Cnidaria
